ID,Algoritmo,FuncaoCusto,CustoTotal,Visitados,Gerados,TamanhoCaminho
1,Largura,C1,40,43737,59072,20
1,Largura,C2,49,43737,59072,20
1,Largura,C3,51,43737,59072,20
1,Largura,C4,59,43737,59072,20
1,Profundidade,C1,84,103650,103674,42
1,Profundidade,C2,102,103650,103674,42
1,Profundidade,C3,108,103650,103674,42
1,Profundidade,C4,125,103650,103674,42
1,CustoUniforme,C1,40,43737,59072,20
1,CustoUniforme,C2,49,46473,63302,20
1,CustoUniforme,C3,49,43417,58835,20
1,CustoUniforme,C4,57,40145,55804,20
2,Largura,C1,30,6725,10482,15
2,Largura,C2,36,6725,10482,15
2,Largura,C3,39,6725,10482,15
2,Largura,C4,42,6725,10482,15
2,Profundidade,C1,90,18681,18711,45
2,Profundidade,C2,108,18681,18711,45
2,Profundidade,C3,117,18681,18711,45
2,Profundidade,C4,133,18681,18711,45
2,CustoUniforme,C1,30,6725,10482,15
2,CustoUniforme,C2,36,5591,8801,15
2,CustoUniforme,C3,39,8413,12933,15
2,CustoUniforme,C4,42,5010,7874,15
3,Largura,C1,26,2141,3409,13
3,Largura,C2,31,2141,3409,13
3,Largura,C3,34,2141,3409,13
3,Largura,C4,38,2141,3409,13
3,Profundidade,C1,100,50059,50088,50
3,Profundidade,C2,122,50059,50088,50
3,Profundidade,C3,128,50059,50088,50
3,Profundidade,C4,150,50059,50088,50
3,CustoUniforme,C1,26,2141,3409,13
3,CustoUniforme,C2,31,1946,3081,13
3,CustoUniforme,C3,34,2811,4692,13
3,CustoUniforme,C4,38,2259,3633,13
4,Largura,C1,46,119857,139613,23
4,Largura,C2,58,119857,139613,23
4,Largura,C3,57,119857,139613,23
4,Largura,C4,70,119857,139613,23
4,Profundidade,C1,100,56612,56646,50
4,Profundidade,C2,120,56612,56646,50
4,Profundidade,C3,130,56612,56646,50
4,Profundidade,C4,147,56612,56646,50
4,CustoUniforme,C1,46,119857,139613,23
4,CustoUniforme,C2,58,122253,141564,23
4,CustoUniforme,C3,57,106424,130764,23
4,CustoUniforme,C4,70,131180,152647,23
5,Largura,C1,40,42781,60060,20
5,Largura,C2,50,42781,60060,20
5,Largura,C3,50,42781,60060,20
5,Largura,C4,60,42781,60060,20
5,Profundidade,C1,100,44192,44217,50
5,Profundidade,C2,122,44192,44217,50
5,Profundidade,C3,128,44192,44217,50
5,Profundidade,C4,144,44192,44217,50
5,CustoUniforme,C1,40,42781,60060,20
5,CustoUniforme,C2,50,49749,66511,20
5,CustoUniforme,C3,50,45522,63473,20
5,CustoUniforme,C4,60,54079,72952,20
6,Largura,C1,30,6780,10524,15
6,Largura,C2,37,6780,10524,15
6,Largura,C3,38,6780,10524,15
6,Largura,C4,46,6780,10524,15
6,Profundidade,C1,100,35454,35488,50
6,Profundidade,C2,120,35454,35488,50
6,Profundidade,C3,130,35454,35488,50
6,Profundidade,C4,147,35454,35488,50
6,CustoUniforme,C1,30,6780,10524,15
6,CustoUniforme,C2,37,6860,10358,15
6,CustoUniforme,C3,38,7055,11190,15
6,CustoUniforme,C4,46,8951,13730,15
7,Largura,C1,42,66390,88706,21
7,Largura,C2,51,66390,88706,21
7,Largura,C3,54,66390,88706,21
7,Largura,C4,64,66390,88706,21
7,Profundidade,C1,100,65172,65195,50
7,Profundidade,C2,123,65172,65195,50
7,Profundidade,C3,127,65172,65195,50
7,Profundidade,C4,146,65172,65195,50
7,CustoUniforme,C1,42,66390,88706,21
7,CustoUniforme,C2,51,55749,74628,21
7,CustoUniforme,C3,54,73288,97436,21
7,CustoUniforme,C4,64,80289,103445,21
8,Largura,C1,44,104536,124824,22
8,Largura,C2,55,104536,124824,22
8,Largura,C3,55,104536,124824,22
8,Largura,C4,65,104536,124824,22
8,Profundidade,C1,94,71895,71926,47
8,Profundidade,C2,114,71895,71926,47
8,Profundidade,C3,121,71895,71926,47
8,Profundidade,C4,138,71895,71926,47
8,CustoUniforme,C1,44,104536,124824,22
8,CustoUniforme,C2,55,100657,121634,22
8,CustoUniforme,C3,55,93729,117466,22
8,CustoUniforme,C4,65,106608,129389,22
9,Largura,C1,42,66296,87894,21
9,Largura,C2,51,66296,87894,21
9,Largura,C3,54,66296,87894,21
9,Largura,C4,65,66296,87894,21
9,Profundidade,C1,100,62665,62698,50
9,Profundidade,C2,118,62665,62698,50
9,Profundidade,C3,132,62665,62698,50
9,Profundidade,C4,146,62665,62698,50
9,CustoUniforme,C1,42,66296,87894,21
9,CustoUniforme,C2,51,59802,80838,21
9,CustoUniforme,C3,51,56469,77329,21
9,CustoUniforme,C4,63,78896,101066,23
10,Largura,C1,28,4005,6269,14
10,Largura,C2,34,4005,6269,14
10,Largura,C3,36,4005,6269,14
10,Largura,C4,43,4005,6269,14
10,Profundidade,C1,100,15064,15096,50
10,Profundidade,C2,119,15064,15096,50
10,Profundidade,C3,131,15064,15096,50
10,Profundidade,C4,145,15064,15096,50
10,CustoUniforme,C1,28,4005,6269,14
10,CustoUniforme,C2,34,3286,5207,14
10,CustoUniforme,C3,36,4473,7020,14
10,CustoUniforme,C4,43,5179,8137,14
11,Largura,C1,32,11804,18520,16
11,Largura,C2,38,11804,18520,16
11,Largura,C3,42,11804,18520,16
11,Largura,C4,47,11804,18520,16
11,Profundidade,C1,94,43196,43222,47
11,Profundidade,C2,113,43196,43222,47
11,Profundidade,C3,122,43196,43222,47
11,Profundidade,C4,138,43196,43222,47
11,CustoUniforme,C1,32,11804,18520,16
11,CustoUniforme,C2,38,8303,12806,16
11,CustoUniforme,C3,42,12995,20890,16
11,CustoUniforme,C4,47,10070,15474,16
12,Largura,C1,40,40435,57608,20
12,Largura,C2,50,40435,57608,20
12,Largura,C3,50,40435,57608,20
12,Largura,C4,58,40435,57608,20
12,Profundidade,C1,98,80528,80548,49
12,Profundidade,C2,119,80528,80548,49
12,Profundidade,C3,126,80528,80548,49
12,Profundidade,C4,135,80528,80548,49
12,CustoUniforme,C1,40,40435,57608,20
12,CustoUniforme,C2,49,41213,59166,20
12,CustoUniforme,C3,50,43858,62599,20
12,CustoUniforme,C4,58,44091,60739,20
13,Largura,C1,24,1426,2295,12
13,Largura,C2,30,1426,2295,12
13,Largura,C3,30,1426,2295,12
13,Largura,C4,35,1426,2295,12
13,Profundidade,C1,100,10741,10775,50
13,Profundidade,C2,118,10741,10775,50
13,Profundidade,C3,132,10741,10775,50
13,Profundidade,C4,144,10741,10775,50
13,CustoUniforme,C1,24,1426,2295,12
13,CustoUniforme,C2,30,1675,2560,12
13,CustoUniforme,C3,30,1257,2187,12
13,CustoUniforme,C4,35,1452,2288,12
14,Largura,C1,40,49694,67958,20
14,Largura,C2,50,49694,67958,20
14,Largura,C3,50,49694,67958,20
14,Largura,C4,57,49694,67958,20
14,Profundidade,C1,100,18328,18359,50
14,Profundidade,C2,120,18328,18359,50
14,Profundidade,C3,130,18328,18359,50
14,Profundidade,C4,143,18328,18359,50
14,CustoUniforme,C1,40,49694,67958,20
14,CustoUniforme,C2,50,51951,71325,20
14,CustoUniforme,C3,50,51000,69623,20
14,CustoUniforme,C4,57,41693,57642,20
15,Largura,C1,18,332,543,9
15,Largura,C2,22,332,543,9
15,Largura,C3,23,332,543,9
15,Largura,C4,25,332,543,9
15,Profundidade,C1,98,12271,12303,49
15,Profundidade,C2,118,12271,12303,49
15,Profundidade,C3,127,12271,12303,49
15,Profundidade,C4,144,12271,12303,49
15,CustoUniforme,C1,18,332,543,9
15,CustoUniforme,C2,22,363,568,9
15,CustoUniforme,C3,23,423,706,9
15,CustoUniforme,C4,25,299,492,9
16,Largura,C1,34,18524,26992,17
16,Largura,C2,41,18524,26992,17
16,Largura,C3,44,18524,26992,17
16,Largura,C4,50,18524,26992,17
16,Profundidade,C1,92,36718,36747,46
16,Profundidade,C2,110,36718,36747,46
16,Profundidade,C3,120,36718,36747,46
16,Profundidade,C4,135,36718,36747,46
16,CustoUniforme,C1,34,18524,26992,17
16,CustoUniforme,C2,41,13711,20954,17
16,CustoUniforme,C3,44,19804,29103,17
16,CustoUniforme,C4,50,16155,24031,17
17,Largura,C1,46,100271,121731,23
17,Largura,C2,56,100271,121731,23
17,Largura,C3,59,100271,121731,23
17,Largura,C4,59,100271,121731,23
17,Profundidade,C1,100,5258,5289,50
17,Profundidade,C2,119,5258,5289,50
17,Profundidade,C3,131,5258,5289,50
17,Profundidade,C4,142,5258,5289,50
17,CustoUniforme,C1,46,100271,121731,23
17,CustoUniforme,C2,56,99280,120943,23
17,CustoUniforme,C3,57,103703,125731,23
17,CustoUniforme,C4,59,49406,67014,23
18,Largura,C1,44,79117,99037,22
18,Largura,C2,52,79117,99037,22
18,Largura,C3,58,79117,99037,22
18,Largura,C4,65,79117,99037,22
18,Profundidade,C1,88,43213,43240,44
18,Profundidade,C2,105,43213,43240,44
18,Profundidade,C3,115,43213,43240,44
18,Profundidade,C4,125,43213,43240,44
18,CustoUniforme,C1,44,79117,99037,22
18,CustoUniforme,C2,52,66781,89551,22
18,CustoUniforme,C3,56,95382,120424,22
18,CustoUniforme,C4,64,86641,109567,23
19,Largura,C1,32,7980,12663,16
19,Largura,C2,40,7980,12663,16
19,Largura,C3,40,7980,12663,16
19,Largura,C4,45,7980,12663,16
19,Profundidade,C1,100,12023,12055,50
19,Profundidade,C2,120,12023,12055,50
19,Profundidade,C3,130,12023,12055,50
19,Profundidade,C4,146,12023,12055,50
19,CustoUniforme,C1,32,7980,12663,16
19,CustoUniforme,C2,40,10049,15114,16
19,CustoUniforme,C3,40,9326,14484,16
19,CustoUniforme,C4,45,7019,11010,16
20,Largura,C1,34,14985,22982,17
20,Largura,C2,42,14985,22982,17
20,Largura,C3,43,14985,22982,17
20,Largura,C4,47,14985,22982,17
20,Profundidade,C1,96,10522,10556,48
20,Profundidade,C2,114,10522,10556,48
20,Profundidade,C3,126,10522,10556,48
20,Profundidade,C4,137,10522,10556,48
20,CustoUniforme,C1,34,14985,22982,17
20,CustoUniforme,C2,42,13949,21195,17
20,CustoUniforme,C3,43,15835,24261,17
20,CustoUniforme,C4,47,9821,14972,17
21,Largura,C1,28,3275,5308,14
21,Largura,C2,34,3275,5308,14
21,Largura,C3,36,3275,5308,14
21,Largura,C4,38,3275,5308,14
21,Profundidade,C1,88,12406,12434,44
21,Profundidade,C2,104,12406,12434,44
21,Profundidade,C3,116,12406,12434,44
21,Profundidade,C4,126,12406,12434,44
21,CustoUniforme,C1,28,3275,5308,14
21,CustoUniforme,C2,34,3536,5445,14
21,CustoUniforme,C3,36,4214,6812,14
21,CustoUniforme,C4,38,2409,3876,14
22,Largura,C1,32,10215,15756,16
22,Largura,C2,39,10215,15756,16
22,Largura,C3,41,10215,15756,16
22,Largura,C4,47,10215,15756,16
22,Profundidade,C1,96,26115,26146,48
22,Profundidade,C2,115,26115,26146,48
22,Profundidade,C3,125,26115,26146,48
22,Profundidade,C4,140,26115,26146,48
22,CustoUniforme,C1,32,10215,15756,16
22,CustoUniforme,C2,39,9544,14584,16
22,CustoUniforme,C3,41,11954,18637,16
22,CustoUniforme,C4,47,10655,16374,16
23,Largura,C1,34,14511,22182,17
23,Largura,C2,41,14511,22182,17
23,Largura,C3,44,14511,22182,17
23,Largura,C4,51,14511,22182,17
23,Profundidade,C1,100,30811,30840,50
23,Profundidade,C2,120,30811,30840,50
23,Profundidade,C3,130,30811,30840,50
23,Profundidade,C4,145,30811,30840,50
