ID,Algoritmo,FuncaoCusto,Heuristica,CustoTotal,Visitados,Gerados,TamanhoCaminho
1,CustoUniforme,C1,-,46,115177,136346,23
1,CustoUniforme,C2,-,57,114913,135600,23
1,CustoUniforme,C3,-,58,114455,137692,23
1,CustoUniforme,C4,-,67,107391,131109,23
1,A*,C1,H1,46,17209,25884,23
1,A*,C1,H2,46,2016,3191,23
1,A*,C2,H1,57,24652,35692,23
1,A*,C2,H2,57,4333,6636,23
1,A*,C3,H1,58,27641,39760,23
1,A*,C3,H2,58,4916,7539,23
1,A*,C4,H1,67,29843,43025,23
1,A*,C4,H2,67,6893,10530,23
2,CustoUniforme,C1,-,38,39270,53965,19
2,CustoUniforme,C2,-,47,37939,51443,19
2,CustoUniforme,C3,-,48,34887,51388,19
2,CustoUniforme,C4,-,54,28861,41453,19
2,A*,C1,H1,38,3146,5044,19
2,A*,C1,H2,38,488,794,19
2,A*,C2,H1,47,4680,7257,19
2,A*,C2,H2,47,943,1469,19
2,A*,C3,H1,48,5215,8104,19
2,A*,C3,H2,48,992,1586,19
2,A*,C4,H1,54,4712,7384,19
2,A*,C4,H2,54,1138,1788,19
3,CustoUniforme,C1,-,34,18169,27382,17
3,CustoUniforme,C2,-,42,17960,27114,17
3,CustoUniforme,C3,-,43,18436,27959,17
3,CustoUniforme,C4,-,50,20720,30387,17
3,A*,C1,H1,34,1459,2352,17
3,A*,C1,H2,34,208,351,17
3,A*,C2,H1,42,1986,3258,17
3,A*,C2,H2,42,390,641,17
3,A*,C3,H1,43,2439,3807,17
3,A*,C3,H2,43,457,736,17
3,A*,C4,H1,50,3428,5395,17
3,A*,C4,H2,50,855,1370,17
4,CustoUniforme,C1,-,46,117232,139001,23
4,CustoUniforme,C2,-,58,124059,145761,23
4,CustoUniforme,C3,-,57,114510,136196,23
4,CustoUniforme,C4,-,70,139366,159055,24
4,A*,C1,H1,46,18878,28217,23
4,A*,C1,H2,46,1981,3156,23
4,A*,C2,H1,58,29571,43955,23
4,A*,C2,H2,58,5368,8567,23
4,A*,C3,H1,57,26225,37989,23
4,A*,C3,H2,57,4206,6486,23
4,A*,C4,H1,70,50626,69909,24
4,A*,C4,H2,70,13377,20014,24
5,CustoUniforme,C1,-,28,3073,5034,14
5,CustoUniforme,C2,-,34,3456,5372,14
5,CustoUniforme,C3,-,36,4304,6900,14
5,CustoUniforme,C4,-,40,3261,5176,14
5,A*,C1,H1,28,301,508,14
5,A*,C1,H2,28,48,79,14
5,A*,C2,H1,34,392,631,14
5,A*,C2,H2,34,63,102,14
5,A*,C3,H1,36,548,873,14
5,A*,C3,H2,36,85,149,14
5,A*,C4,H1,40,499,803,14
5,A*,C4,H2,40,108,181,14
6,CustoUniforme,C1,-,42,68798,91860,21
6,CustoUniforme,C2,-,53,71149,95472,21
6,CustoUniforme,C3,-,50,46472,64016,21
6,CustoUniforme,C4,-,60,55240,74047,21
6,A*,C1,H1,42,6719,10582,21
6,A*,C1,H2,42,810,1302,21
6,A*,C2,H1,53,11069,17558,21
6,A*,C2,H2,53,1935,3155,21
6,A*,C3,H1,50,6661,10279,21
6,A*,C3,H2,50,1201,1876,21
6,A*,C4,H1,60,10693,16363,21
6,A*,C4,H2,60,2417,3786,21
7,CustoUniforme,C1,-,48,146588,161219,24
7,CustoUniforme,C2,-,61,150519,164785,24
7,CustoUniforme,C3,-,59,126967,149481,24
7,CustoUniforme,C4,-,71,151853,168514,24
7,A*,C1,H1,48,27600,40464,24
7,A*,C1,H2,48,2555,4004,24
7,A*,C2,H1,61,47474,65303,24
7,A*,C2,H2,61,7434,11144,24
7,A*,C3,H1,59,35451,50115,24
7,A*,C3,H2,59,4476,7012,24
7,A*,C4,H1,71,59586,80904,24
7,A*,C4,H2,71,14078,21051,24
8,CustoUniforme,C1,-,38,27867,39373,19
8,CustoUniforme,C2,-,46,28019,39641,19
8,CustoUniforme,C3,-,49,39215,55243,19
8,CustoUniforme,C4,-,55,30341,43527,19
8,A*,C1,H1,38,2623,4204,19
8,A*,C1,H2,38,323,527,19
8,A*,C2,H1,46,3240,5037,19
8,A*,C2,H2,46,608,984,19
8,A*,C3,H1,49,5218,8503,19
8,A*,C3,H2,49,967,1583,19
8,A*,C4,H1,55,4902,7703,19
8,A*,C4,H2,55,1227,1938,19
9,CustoUniforme,C1,-,50,149904,165784,25
9,CustoUniforme,C2,-,62,155461,168335,25
9,CustoUniforme,C3,-,63,155984,169839,25
9,CustoUniforme,C4,-,72,146282,165231,25
9,A*,C1,H1,50,37696,53540,25
9,A*,C1,H2,50,5772,8953,25
9,A*,C2,H1,62,50179,68439,25
9,A*,C2,H2,62,10647,15812,25
9,A*,C3,H1,63,57615,77617,25
9,A*,C3,H2,63,12189,18521,25
9,A*,C4,H1,72,54775,74971,25
9,A*,C4,H2,72,14607,21833,25
10,CustoUniforme,C1,-,26,2176,3573,13
10,CustoUniforme,C2,-,31,2110,3453,13
10,CustoUniforme,C3,-,34,3383,5257,13
10,CustoUniforme,C4,-,40,3458,5516,13
10,A*,C1,H1,26,216,367,13
10,A*,C1,H2,26,53,87,13
10,A*,C2,H1,31,250,407,13
10,A*,C2,H2,31,54,88,13
10,A*,C3,H1,34,434,686,13
10,A*,C3,H2,34,92,153,13
10,A*,C4,H1,40,532,848,13
10,A*,C4,H2,40,130,214,13
11,CustoUniforme,C1,-,36,27996,41590,18
11,CustoUniforme,C2,-,47,33952,50546,18
11,CustoUniforme,C3,-,43,16600,25741,18
11,CustoUniforme,C4,-,56,35498,49863,18
11,A*,C1,H1,36,1759,2847,18
11,A*,C1,H2,36,129,212,18
11,A*,C2,H1,47,3992,6546,18
11,A*,C2,H2,47,569,976,18
11,A*,C3,H1,43,1954,3084,18
11,A*,C3,H2,43,247,407,18
11,A*,C4,H1,56,6130,9583,18
11,A*,C4,H2,56,1184,1883,18
12,CustoUniforme,C1,-,36,25756,38052,18
12,CustoUniforme,C2,-,45,25016,36740,18
12,CustoUniforme,C3,-,44,21356,30794,18
12,CustoUniforme,C4,-,52,21284,31196,18
12,A*,C1,H1,36,1896,3062,18
12,A*,C1,H2,36,189,318,18
12,A*,C2,H1,45,2866,4711,18
12,A*,C2,H2,45,485,797,18
12,A*,C3,H1,44,2418,4004,18
12,A*,C3,H2,44,418,677,18
12,A*,C4,H1,52,3363,5320,18
12,A*,C4,H2,52,742,1174,18
13,CustoUniforme,C1,-,50,158611,170071,25
13,CustoUniforme,C2,-,60,138040,156916,25
13,CustoUniforme,C3,-,65,168113,176267,25
13,CustoUniforme,C4,-,74,152879,169723,25
13,A*,C1,H1,50,36071,51799,25
13,A*,C1,H2,50,2995,4692,25
13,A*,C2,H1,60,36651,53590,25
13,A*,C2,H2,60,5073,8155,25
13,A*,C3,H1,65,68851,94116,25
13,A*,C3,H2,65,12130,18849,25
13,A*,C4,H1,74,63568,86110,25
13,A*,C4,H2,74,15331,23177,25
14,CustoUniforme,C1,-,46,111514,133975,23
14,CustoUniforme,C2,-,56,100106,124103,23
14,CustoUniforme,C3,-,59,124234,145004,23
14,CustoUniforme,C4,-,65,94669,118502,23
14,A*,C1,H1,46,16838,25744,23
14,A*,C1,H2,46,1528,2432,23
14,A*,C2,H1,56,20326,29945,23
14,A*,C2,H2,56,2879,4450,23
14,A*,C3,H1,59,33244,47433,23
14,A*,C3,H2,59,4847,7566,23
14,A*,C4,H1,65,22926,33822,23
14,A*,C4,H2,65,4485,6946,23
15,CustoUniforme,C1,-,34,16344,24471,17
15,CustoUniforme,C2,-,41,13605,20869,17
15,CustoUniforme,C3,-,44,19307,28683,17
15,CustoUniforme,C4,-,49,13851,21013,17
15,A*,C1,H1,34,1480,2406,17
15,A*,C1,H2,34,406,654,17
15,A*,C2,H1,41,1721,2714,17
15,A*,C2,H2,41,528,845,17
15,A*,C3,H1,44,2885,4501,17
15,A*,C3,H2,44,843,1344,17
15,A*,C4,H1,49,2383,3774,17
15,A*,C4,H2,49,825,1323,17
16,CustoUniforme,C1,-,46,109367,132731,23
16,CustoUniforme,C2,-,56,98094,119620,23
16,CustoUniforme,C3,-,57,103070,124995,23
16,CustoUniforme,C4,-,69,118797,141850,25
16,A*,C1,H1,46,16093,24256,23
16,A*,C1,H2,46,2081,3313,23
