ID,Algoritmo,Execucao,FuncaoCusto,CustoTotal,Visitados,Gerados,TamanhoCaminho
1,Largura,1,C1,44,94277,117131,22
1,Largura,1,C2,55,94277,117131,22
1,Largura,1,C3,55,94277,117131,22
1,Largura,1,C4,66,94277,117131,22
1,Profundidade,1,C1,94,30720,30748,47
1,Profundidade,1,C2,118,30720,30748,47
1,Profundidade,1,C3,117,30720,30748,47
1,Profundidade,1,C4,134,30720,30748,47
1,Largura,2,C1,44,90655,114150,22
1,Largura,2,C2,55,90655,114150,22
1,Largura,2,C3,55,90655,114150,22
1,Largura,2,C4,62,90655,114150,22
1,Profundidade,2,C1,100,505,547,50
1,Profundidade,2,C2,125,505,547,50
1,Profundidade,2,C3,125,505,547,50
1,Profundidade,2,C4,148,505,547,50
1,Largura,3,C1,44,102307,123238,22
1,Largura,3,C2,54,102307,123238,22
1,Largura,3,C3,56,102307,123238,22
1,Largura,3,C4,66,102307,123238,22
1,Profundidade,3,C1,96,1843,1881,48
1,Profundidade,3,C2,121,1843,1881,48
1,Profundidade,3,C3,119,1843,1881,48
1,Profundidade,3,C4,139,1843,1881,48
1,Largura,4,C1,44,100148,121675,22
1,Largura,4,C2,55,100148,121675,22
1,Largura,4,C3,55,100148,121675,22
1,Largura,4,C4,66,100148,121675,22
1,Profundidade,4,C1,94,29780,29815,47
1,Profundidade,4,C2,114,29780,29815,47
1,Profundidade,4,C3,121,29780,29815,47
1,Profundidade,4,C4,140,29780,29815,47
1,Largura,5,C1,44,101150,122412,22
1,Largura,5,C2,54,101150,122412,22
1,Largura,5,C3,56,101150,122412,22
1,Largura,5,C4,62,101150,122412,22
1,Profundidade,5,C1,100,72556,72584,50
1,Profundidade,5,C2,123,72556,72584,50
1,Profundidade,5,C3,127,72556,72584,50
1,Profundidade,5,C4,144,72556,72584,50
1,Largura,6,C1,44,87435,111542,22
1,Largura,6,C2,54,87435,111542,22
1,Largura,6,C3,56,87435,111542,22
1,Largura,6,C4,66,87435,111542,22
1,Profundidade,6,C1,100,34310,34337,50
1,Profundidade,6,C2,124,34310,34337,50
1,Profundidade,6,C3,126,34310,34337,50
1,Profundidade,6,C4,146,34310,34337,50
1,Largura,7,C1,44,90337,113904,22
1,Largura,7,C2,54,90337,113904,22
1,Largura,7,C3,56,90337,113904,22
1,Largura,7,C4,66,90337,113904,22
1,Profundidade,7,C1,96,31501,31532,48
1,Profundidade,7,C2,119,31501,31532,48
1,Profundidade,7,C3,121,31501,31532,48
1,Profundidade,7,C4,135,31501,31532,48
1,Largura,8,C1,44,81877,106831,22
1,Largura,8,C2,55,81877,106831,22
1,Largura,8,C3,55,81877,106831,22
1,Largura,8,C4,66,81877,106831,22
1,Profundidade,8,C1,100,64074,64112,50
1,Profundidade,8,C2,125,64074,64112,50
1,Profundidade,8,C3,125,64074,64112,50
1,Profundidade,8,C4,151,64074,64112,50
1,Largura,9,C1,44,83238,108015,22
1,Largura,9,C2,54,83238,108015,22
1,Largura,9,C3,56,83238,108015,22
1,Largura,9,C4,66,83238,108015,22
1,Profundidade,9,C1,86,101250,101270,43
1,Profundidade,9,C2,107,101250,101270,43
1,Profundidade,9,C3,108,101250,101270,43
1,Profundidade,9,C4,117,101250,101270,43
1,Largura,10,C1,44,90473,113968,22
1,Largura,10,C2,54,90473,113968,22
1,Largura,10,C3,56,90473,113968,22
1,Largura,10,C4,62,90473,113968,22
1,Profundidade,10,C1,92,32331,32363,46
1,Profundidade,10,C2,115,32331,32363,46
1,Profundidade,10,C3,115,32331,32363,46
1,Profundidade,10,C4,132,32331,32363,46
2,Largura,1,C1,46,105389,129336,23
2,Largura,1,C2,56,105389,129336,23
2,Largura,1,C3,59,105389,129336,23
2,Largura,1,C4,70,105389,129336,23
2,Profundidade,1,C1,100,13351,13387,50
2,Profundidade,1,C2,126,13351,13387,50
2,Profundidade,1,C3,124,13351,13387,50
2,Profundidade,1,C4,148,13351,13387,50
2,Largura,2,C1,46,102994,127447,23
2,Largura,2,C2,56,102994,127447,23
2,Largura,2,C3,59,102994,127447,23
2,Largura,2,C4,70,102994,127447,23
2,Profundidade,2,C1,94,26077,26111,47
2,Profundidade,2,C2,118,26077,26111,47
2,Profundidade,2,C3,117,26077,26111,47
2,Profundidade,2,C4,140,26077,26111,47
2,Largura,3,C1,46,103896,128028,23
2,Largura,3,C2,56,103896,128028,23
2,Largura,3,C3,59,103896,128028,23
2,Largura,3,C4,66,103896,128028,23
2,Profundidade,3,C1,98,65125,65153,49
2,Profundidade,3,C2,122,65125,65153,49
2,Profundidade,3,C3,123,65125,65153,49
2,Profundidade,3,C4,146,65125,65153,49
2,Largura,4,C1,46,104576,128762,23
2,Largura,4,C2,56,104576,128762,23
2,Largura,4,C3,59,104576,128762,23
2,Largura,4,C4,70,104576,128762,23
2,Profundidade,4,C1,100,103792,103813,50
2,Profundidade,4,C2,124,103792,103813,50
2,Profundidade,4,C3,126,103792,103813,50
2,Profundidade,4,C4,143,103792,103813,50
2,Largura,5,C1,46,104151,128207,23
2,Largura,5,C2,59,104151,128207,23
2,Largura,5,C3,56,104151,128207,23
2,Largura,5,C4,70,104151,128207,23
2,Profundidade,5,C1,98,42143,42172,49
2,Profundidade,5,C2,120,42143,42172,49
2,Profundidade,5,C3,125,42143,42172,49
2,Profundidade,5,C4,144,42143,42172,49
2,Largura,6,C1,46,111217,133690,23
2,Largura,6,C2,56,111217,133690,23
2,Largura,6,C3,59,111217,133690,23
2,Largura,6,C4,66,111217,133690,23
2,Profundidade,6,C1,100,81038,81067,50
2,Profundidade,6,C2,124,81038,81067,50
2,Profundidade,6,C3,126,81038,81067,50
2,Profundidade,6,C4,145,81038,81067,50
2,Largura,7,C1,46,108093,131283,23
2,Largura,7,C2,59,108093,131283,23
2,Largura,7,C3,56,108093,131283,23
2,Largura,7,C4,70,108093,131283,23
2,Profundidade,7,C1,96,74928,74962,48
2,Profundidade,7,C2,122,74928,74962,48
2,Profundidade,7,C3,118,74928,74962,48
2,Profundidade,7,C4,143,74928,74962,48
2,Largura,8,C1,46,107942,131300,23
2,Largura,8,C2,56,107942,131300,23
2,Largura,8,C3,59,107942,131300,23
2,Largura,8,C4,70,107942,131300,23
2,Profundidade,8,C1,100,2939,2972,50
2,Profundidade,8,C2,124,2939,2972,50
2,Profundidade,8,C3,126,2939,2972,50
2,Profundidade,8,C4,145,2939,2972,50
2,Largura,9,C1,46,106151,129923,23
2,Largura,9,C2,56,106151,129923,23
2,Largura,9,C3,59,106151,129923,23
2,Largura,9,C4,70,106151,129923,23
2,Profundidade,9,C1,96,27861,27894,48
2,Profundidade,9,C2,119,27861,27894,48
2,Profundidade,9,C3,121,27861,27894,48
2,Profundidade,9,C4,135,27861,27894,48
2,Largura,10,C1,46,115018,136321,23
2,Largura,10,C2,59,115018,136321,23
2,Largura,10,C3,56,115018,136321,23
2,Largura,10,C4,70,115018,136321,23
2,Profundidade,10,C1,100,77435,77463,50
2,Profundidade,10,C2,125,77435,77463,50
2,Profundidade,10,C3,125,77435,77463,50
2,Profundidade,10,C4,149,77435,77463,50
3,Largura,1,C1,40,42807,57677,20
3,Largura,1,C2,48,42807,57677,20
3,Largura,1,C3,52,42807,57677,20
3,Largura,1,C4,59,42807,57677,20
3,Profundidade,1,C1,100,7981,8013,50
3,Profundidade,1,C2,122,7981,8013,50
